"datas_param","QTY_ITEMS","QTY_CLIENTS"
2019-01-02 00:00:00,133,20
2019-01-02 00:15:00,109,8
2019-01-02 00:30:00,12,2
2019-01-02 00:45:00,,
2019-01-02 01:00:00,,
2019-01-02 01:15:00,,
2019-01-02 01:30:00,,
2019-01-02 01:45:00,,
2019-01-02 02:00:00,,
2019-01-02 02:15:00,,
2019-01-02 02:30:00,,
2019-01-02 02:45:00,,
2019-01-02 03:00:00,,
2019-01-02 03:15:00,,
2019-01-02 03:30:00,,
2019-01-02 03:45:00,,
2019-01-02 04:00:00,,
2019-01-02 04:15:00,,
2019-01-02 04:30:00,,
2019-01-02 04:45:00,,
2019-01-02 05:00:00,,
2019-01-02 05:15:00,,
2019-01-02 05:30:00,,
2019-01-02 05:45:00,,
2019-01-02 06:00:00,,
2019-01-02 06:15:00,,
2019-01-02 06:30:00,,
2019-01-02 06:45:00,1,1
2019-01-02 07:00:00,83,27
2019-01-02 07:15:00,253,67
2019-01-02 07:30:00,419,80
2019-01-02 07:45:00,321,64
2019-01-02 08:00:00,404,80
2019-01-02 08:15:00,448,80
2019-01-02 08:30:00,475,79
2019-01-02 08:45:00,485,85
2019-01-02 09:00:00,637,79
2019-01-02 09:15:00,534,81
2019-01-02 09:30:00,507,80
2019-01-02 09:45:00,643,89
2019-01-02 10:00:00,686,103
2019-01-02 10:15:00,713,88
2019-01-02 10:30:00,861,101
2019-01-02 10:45:00,701,86
2019-01-02 11:00:00,935,121
2019-01-02 11:15:00,1033,123
2019-01-02 11:30:00,1031,133
2019-01-02 11:45:00,1049,131
2019-01-02 12:00:00,1103,149
2019-01-02 12:15:00,1012,183
2019-01-02 12:30:00,1103,165
2019-01-02 12:45:00,876,146
2019-01-02 13:00:00,1118,184
2019-01-02 13:15:00,859,144
2019-01-02 13:30:00,913,167
2019-01-02 13:45:00,762,167
2019-01-02 14:00:00,963,146
2019-01-02 14:15:00,877,123
2019-01-02 14:30:00,867,123
2019-01-02 14:45:00,746,113
2019-01-02 15:00:00,959,127
2019-01-02 15:15:00,853,107
2019-01-02 15:30:00,700,103
2019-01-02 15:45:00,724,108
2019-01-02 16:00:00,1021,106
2019-01-02 16:15:00,858,103
2019-01-02 16:30:00,937,119
2019-01-02 16:45:00,936,111
2019-01-02 17:00:00,991,109
2019-01-02 17:15:00,991,135
2019-01-02 17:30:00,1005,118
2019-01-02 17:45:00,893,122
2019-01-02 18:00:00,1041,131
2019-01-02 18:15:00,1169,120
2019-01-02 18:30:00,1166,126
2019-01-02 18:45:00,851,100
2019-01-02 19:00:00,963,109
2019-01-02 19:15:00,1008,107
2019-01-02 19:30:00,967,110
2019-01-02 19:45:00,840,103
2019-01-02 20:00:00,949,100
2019-01-02 20:15:00,1049,89
2019-01-02 20:30:00,1043,109
2019-01-02 20:45:00,948,91
2019-01-02 21:00:00,1059,100
2019-01-02 21:15:00,1063,88
2019-01-02 21:30:00,1019,83
2019-01-02 21:45:00,1031,86
2019-01-02 22:00:00,922,99
2019-01-02 22:15:00,1006,99
2019-01-02 22:30:00,714,94
2019-01-02 22:45:00,495,76
2019-01-02 23:00:00,867,74
2019-01-02 23:15:00,594,62
2019-01-02 23:30:00,539,54
2019-01-02 23:45:00,283,43
2019-01-03 00:00:00,362,40
2019-01-03 00:15:00,476,57
2019-01-03 00:30:00,288,37
2019-01-03 00:45:00,174,22
2019-01-03 01:00:00,183,24
2019-01-03 01:15:00,104,17
2019-01-03 01:30:00,221,27
2019-01-03 01:45:00,55,10
2019-01-03 02:00:00,88,10
2019-01-03 02:15:00,46,7
2019-01-03 02:30:00,86,12
2019-01-03 02:45:00,89,13
2019-01-03 03:00:00,90,7
2019-01-03 03:15:00,22,8
2019-01-03 03:30:00,17,3
2019-01-03 03:45:00,26,5
2019-01-03 04:00:00,35,6
2019-01-03 04:15:00,29,7
2019-01-03 04:30:00,34,10
2019-01-03 04:45:00,17,6
2019-01-03 05:00:00,56,10
2019-01-03 05:15:00,53,16
2019-01-03 05:30:00,69,22
2019-01-03 05:45:00,107,29
2019-01-03 06:00:00,117,24
2019-01-03 06:15:00,135,35
2019-01-03 06:30:00,103,33
2019-01-03 06:45:00,186,44
2019-01-03 07:00:00,261,54
2019-01-03 07:15:00,293,81
2019-01-03 07:30:00,271,71
2019-01-03 07:45:00,299,77
2019-01-03 08:00:00,384,69
2019-01-03 08:15:00,387,75
2019-01-03 08:30:00,458,70
2019-01-03 08:45:00,388,62
2019-01-03 09:00:00,355,67
2019-01-03 09:15:00,487,73
2019-01-03 09:30:00,491,68
2019-01-03 09:45:00,437,63
2019-01-03 10:00:00,715,81
2019-01-03 10:15:00,613,81
2019-01-03 10:30:00,580,104
2019-01-03 10:45:00,702,103
2019-01-03 11:00:00,705,111
2019-01-03 11:15:00,569,102
2019-01-03 11:30:00,724,103
2019-01-03 11:45:00,760,104
2019-01-03 12:00:00,1046,129
2019-01-03 12:15:00,891,140
2019-01-03 12:30:00,871,160
2019-01-03 12:45:00,708,134
2019-01-03 13:00:00,1034,175
2019-01-03 13:15:00,697,155
2019-01-03 13:30:00,640,182
2019-01-03 13:45:00,871,171
2019-01-03 14:00:00,773,167
2019-01-03 14:15:00,661,117
2019-01-03 14:30:00,738,119
2019-01-03 14:45:00,593,113
2019-01-03 15:00:00,742,124
2019-01-03 15:15:00,540,122
2019-01-03 15:30:00,666,104
2019-01-03 15:45:00,856,109
2019-01-03 16:00:00,774,93
2019-01-03 16:15:00,786,119
2019-01-03 16:30:00,921,123
2019-01-03 16:45:00,744,124
2019-01-03 17:00:00,835,135
2019-01-03 17:15:00,880,127
2019-01-03 17:30:00,783,129
2019-01-03 17:45:00,930,100
2019-01-03 18:00:00,1001,118
2019-01-03 18:15:00,853,123
2019-01-03 18:30:00,904,131
2019-01-03 18:45:00,713,106
2019-01-03 19:00:00,894,122
2019-01-03 19:15:00,746,108
2019-01-03 19:30:00,803,110
2019-01-03 19:45:00,678,88
2019-01-03 20:00:00,839,91
2019-01-03 20:15:00,841,79
2019-01-03 20:30:00,783,75
2019-01-03 20:45:00,536,63
2019-01-03 21:00:00,750,73
2019-01-03 21:15:00,641,73
2019-01-03 21:30:00,709,72
2019-01-03 21:45:00,772,70
2019-01-03 22:00:00,760,80
2019-01-03 22:15:00,669,74
2019-01-03 22:30:00,503,68
2019-01-03 22:45:00,316,41
2019-01-03 23:00:00,478,48
2019-01-03 23:15:00,363,44
2019-01-03 23:30:00,589,44
2019-01-03 23:45:00,371,44
2019-01-04 00:00:00,356,41
2019-01-04 00:15:00,427,34
2019-01-04 00:30:00,199,32
2019-01-04 00:45:00,240,29
2019-01-04 01:00:00,380,27
2019-01-04 01:15:00,81,10
2019-01-04 01:30:00,182,20
2019-01-04 01:45:00,79,18
2019-01-04 02:00:00,97,10
2019-01-04 02:15:00,68,20
2019-01-04 02:30:00,61,13
2019-01-04 02:45:00,31,8
2019-01-04 03:00:00,37,10
2019-01-04 03:15:00,14,4
